[133, 3]
[163, 3]
[166, 3]
[316, 3]
[353, 3]
[357, 3]
[361, 3]
[363, 3]
[481, 3]
[580, 3]
[321, 4]
[422, 4]
[430, 4]
[473, 4]
[485, 4]
[492, 4]
[494, 4]
[499, 4]
[567, 4]
[572, 4]
[583, 4]
[405, 5]
[519, 5]
[545, 5]
[168, 6]
[324, 6]
[362, 6]
[364, 6]
[370, 6]
[429, 6]
[434, 6]
[476, 6]
[526, 6]
[540, 6]
[564, 6]
[576, 6]
[423, 7]
[457, 7]
[569, 7]
[578, 7]
[280, 8]
[282, 8]
[324, 8]
[330, 8]
[366, 8]
[374, 8]
[383, 8]
[438, 8]
[466, 8]
[470, 8]
[478, 8]
[480, 8]
[482, 8]
[565, 8]
[398, 9]
[434, 9]
[582, 9]
[134, 10]
[286, 10]
[378, 10]
[382, 10]
[384, 10]
[459, 10]
[464, 10]
[474, 10]
[476, 10]
[527, 10]
[576, 10]
[578, 10]
[373, 11]
[423, 11]
[443, 11]
[355, 12]
[370, 12]
[440, 12]
[464, 12]
[468, 12]
[472, 12]
[486, 12]
[550, 12]
[578, 12]
[592, 12]
[327, 13]
[376, 13]
[383, 13]
[429, 13]
[454, 13]
[456, 13]
[461, 13]
[489, 13]
[530, 13]
[134, 14]
[318, 14]
[320, 14]
[380, 14]
[444, 14]
[452, 14]
[492, 14]
[510, 14]
[423, 15]
[450, 15]
[518, 15]
[562, 15]
[300, 16]
[322, 16]
[330, 16]
[332, 16]
[350, 16]
[384, 16]
[458, 16]
[491, 16]
[513, 16]
[554, 16]
[169, 17]
[382, 17]
[461, 17]
[497, 17]
[212, 18]
[312, 18]
[348, 18]
[356, 18]
[361, 18]
[369, 18]
[426, 18]
[500, 18]
[510, 18]
[514, 18]
[626, 18]
[169, 19]
[323, 19]
[383, 19]
[547, 19]
[208, 20]
[500, 20]
[506, 20]
[565, 20]
[632, 20]
[219, 21]
[333, 21]
[423, 21]
[321, 22]
[342, 22]
[366, 22]
[433, 22]
[483, 22]
[503, 22]
[507, 22]
[587, 22]
[594, 22]
[596, 22]
[612, 22]
[625, 22]
[347, 23]
[353, 23]
[359, 23]
[525, 23]
[546, 23]
[619, 23]
[136, 24]
[228, 24]
[327, 24]
[350, 24]
[364, 24]
[371, 24]
[376, 24]
[438, 24]
[468, 24]
[473, 24]
[527, 24]
[612, 24]
[614, 24]
