[136, 26]
[336, 26]
[422, 26]
[329, 27]
[236, 28]
[421, 28]
[428, 29]
[348, 32]
[423, 32]
[347, 37]
[267, 39]
[354, 40]
[423, 40]
[138, 41]
[140, 42]
[142, 42]
[277, 42]
[423, 45]
[158, 46]
[288, 46]
[421, 46]
[426, 48]
[174, 50]
[422, 50]
[179, 51]
[421, 52]
[175, 54]
[313, 55]
[322, 57]
[209, 59]
[214, 60]
[329, 60]
[421, 61]
[221, 62]
[412, 62]
[414, 62]
[351, 65]
[412, 66]
[241, 67]
[421, 69]
[241, 70]
[245, 71]
[403, 71]
[316, 72]
[268, 74]
[358, 76]
[268, 77]
[292, 80]
[331, 81]
[360, 82]
[269, 83]
[292, 83]
[362, 84]
[318, 86]
[307, 87]
[322, 88]
[314, 89]
[332, 90]
[146, 94]
[159, 97]
[181, 98]
[186, 98]
[171, 99]
[196, 100]
[198, 100]
[182, 101]
[186, 101]
[299, 101]
[210, 102]
[216, 104]
[221, 104]
[456, 104]
[463, 106]
[217, 107]
[221, 107]
[227, 108]
[247, 108]
[231, 109]
[251, 109]
[465, 109]
[258, 110]
[247, 111]
[252, 112]
[274, 116]
[297, 117]
[591, 117]
[593, 117]
[302, 118]
[291, 119]
[467, 119]
[297, 120]
[302, 120]
[590, 120]
[604, 121]
[318, 124]
[323, 125]
[280, 126]
[338, 126]
[324, 130]
[409, 130]
[464, 130]
[601, 139]
[154, 142]
[417, 142]
[598, 142]
[188, 144]
[193, 144]
[223, 147]
[189, 148]
[193, 148]
[223, 150]
[228, 150]
[257, 150]
[283, 152]
[295, 152]
[253, 153]
[257, 153]
[297, 153]
[306, 153]
[270, 154]
[323, 155]
[341, 156]
[307, 157]
[323, 158]
[68, 170]
[94, 170]
[93, 173]
[95, 173]
[460, 174]
[100, 176]
[102, 185]
[98, 188]
[327, 189]
[331, 189]
[34, 190]
[36, 190]
[195, 190]
[229, 190]
[259, 190]
[263, 190]
[268, 190]
[276, 190]
[284, 190]
[289, 190]
[312, 190]
[346, 192]
[249, 193]
[259, 193]
[263, 193]
[285, 193]
[289, 193]
[196, 194]
[200, 194]
[401, 197]
[68, 198]
[70, 198]
[72, 198]
[74, 198]
[480, 201]
[458, 202]
[449, 206]
[453, 206]
[444, 208]
[466, 208]
[468, 208]
[477, 208]
[439, 209]
[428, 210]
[415, 211]
[421, 211]
[454, 212]
[105, 214]
[414, 214]
[437, 215]
[84, 216]
[61, 217]
[65, 217]
[31, 218]
[48, 218]
[50, 218]
[456, 218]
[458, 218]
[480, 218]
[350, 221]
[336, 222]
[345, 222]
[592, 222]
[332, 223]
[433, 223]
[484, 224]
[312, 225]
[333, 226]
[95, 227]
[290, 227]
[295, 227]
[317, 227]
[453, 228]
[438, 229]
[94, 230]
[264, 230]
[290, 230]
[294, 230]
[320, 230]
[449, 231]
[68, 232]
[70, 232]
[240, 232]
[246, 232]
[236, 233]
[446, 234]
[202, 236]
[207, 236]
[443, 237]
[414, 238]
[430, 238]
[202, 239]
[434, 240]
[426, 241]
[428, 244]
[586, 244]
[404, 246]
[209, 247]
[406, 248]
[403, 250]
[443, 252]
[355, 255]
[395, 255]
[427, 258]
[337, 259]
[341, 259]
[274, 262]
[295, 263]
[317, 263]
[412, 263]
[299, 264]
[82, 268]
[100, 268]
[274, 268]
[444, 268]
[86, 270]
[270, 270]
[69, 271]
[271, 273]
[274, 273]
[37, 276]
[412, 276]
[242, 278]
[214, 281]
[80, 284]
[75, 285]
[209, 285]
[213, 285]
[359, 285]
[248, 288]
[342, 288]
[341, 290]
[346, 291]
[341, 292]
[175, 293]
[322, 294]
[326, 294]
[430, 294]
[211, 295]
[211, 297]
[322, 298]
[305, 303]
[301, 305]
[304, 305]
[406, 306]
[276, 308]
[280, 308]
[276, 312]
[248, 316]
[252, 316]
[248, 320]
[244, 321]
[347, 322]
[346, 326]
[224, 327]
[216, 330]
[395, 330]
[408, 332]
[187, 336]
[182, 338]
[393, 341]
[373, 346]
[371, 349]
[359, 355]
[357, 356]
[355, 357]
[392, 362]
[343, 363]
[339, 365]
[330, 370]
[326, 372]
[322, 374]
[318, 376]
[314, 378]
[307, 382]
[298, 386]
[294, 388]
[290, 390]
[285, 393]
[281, 395]
[278, 396]
[274, 398]
[270, 400]
[266, 402]
[262, 404]
[257, 407]
[254, 408]
[250, 410]
[247, 412]
[245, 413]
[241, 415]
[95, 416]
[91, 418]
[228, 418]
[235, 418]
[230, 420]
[225, 423]
[223, 424]
[218, 426]
[200, 432]
[206, 432]
[201, 435]
[197, 437]
[190, 440]
[187, 442]
[181, 444]
[173, 448]
[159, 455]
[143, 456]
